"gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue",,,,,,,,,,,
"1260645867	7bd65a7a-f762-11e1-a439-00145eb45e9a	urn:catalog:MO:Tropicos:3248209	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Peltogyne	Peltogyne pauciflora		SPECIES	Copaifera confertiflora Benth.	Copaifera confertiflora Benth.	Benth.	BR	Jacinto"," 5-10 km L.	Minas Gerais	PRESENT		90fd6680-349f-11d8-aa2d-b8a03c50a862									1989-02-19	19	2	1989	2964777	2952724	PRESERVED_SPECIMEN	MO	Tropicos	3248209	52720	R. Barneby	1989-01-01T00:00:00	CC_BY_4_0	Missouri Botanical Garden	Gert G. Hatschbach			2025-01-25T19:29:25.614Z	StillImage	TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY",,,,,,,,,,
"1228553296	90c853e6-56bd-480b-8e8f-6285c3f8d42b	c00e10a2-3629-477e-b211-a48c8eab0d35	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Peltogyne	Peltogyne pauciflora		SPECIES	Peltogyne pauciflora Benth.	Peltogyne pauciflora Benth.		BR	Pernambuco	Pernambuco	PRESENT		7b8aff00-a9f8-11d8-944b-b8a03c50a862	-8.0	-37.0							1951-02-14	14	2	1951	2952724	2952724	PRESERVED_SPECIMEN	F	Botany	V0112599F	51-895			CC0_1_0	The Field Museum of Natural History	A. D. Andrade-Lima			2024-01-25T11:00:11.038Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_FUZZY",,,,,,,,,,,
"1228294287	90c853e6-56bd-480b-8e8f-6285c3f8d42b	9c76ad89-6fef-46cb-a7ec-a156f1fc31de	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Peltogyne	Peltogyne pauciflora		SPECIES	Cynometra glaziovii Taub.	Cynometra glaziovii Taub.					PRESENT		7b8aff00-a9f8-11d8-944b-b8a03c50a862									1883-01-10	10	1	1883	2952726	2952724	PRESERVED_SPECIMEN	F	Botany	V0093783F	14617			CC0_1_0	The Field Museum of Natural History	A.  Glaziou	SYNTYPE		2024-01-25T10:59:52.689Z	StillImage	AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_FUZZY",,,,,,,,,,,
"1228224707	90c853e6-56bd-480b-8e8f-6285c3f8d42b	a4f0fa8a-ee43-4bad-bf51-ac405020fa0d	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Peltogyne	Peltogyne pauciflora		SPECIES	Peltogyne pauciflora Benth.	Peltogyne pauciflora Benth.		BR	Bahia	Bahia	PRESENT		7b8aff00-a9f8-11d8-944b-b8a03c50a862	-11.0	-42.0							1978-11-21	21	11	1978	2952724	2952724	PRESERVED_SPECIMEN	F	Botany	V0112597F	304			CC0_1_0	The Field Museum of Natural History	C. A. Miranda			2024-01-25T10:59:53.986Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_FUZZY",,,,,,,,,,,
"1095610561	3b8e9d83-b2d4-4a97-973c-31d98b67b1e9	https://specieslink.net/guid/40/301812	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Peltogyne	Peltogyne pauciflora		SPECIES	Peltogyne pauciflora Benth.	Peltogyne pauciflora	Benth.	BR	PoÃ§o da Anta	Bahia	PRESENT		ab5c0b99-5af3-4958-b03c-0b7e85481cc1									2004-11-26	26	11	2004	2952724	2952724	PRESERVED_SPECIMEN	MBM	MBM	301812	78552	Lima"," H.C.	2009-06-17T00:00:00	CC_BY_4_0	HerbÃ¡rio do Museu BotÃ¢nico Municipal	Hatschbach", G.; Hatschbach, M.; Barboza," E.		native	2025-01-19T16:46:43.407Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION",,,,,,,
"1095369026	2273e40d-26c2-4959-aea2-b6abcce16d09	https://specieslink.net/guid/259/192323	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Peltogyne	Peltogyne pauciflora		SPECIES	Peltogyne pauciflora Benth.	Peltogyne pauciflora	Benth.	BR	PoÃ§o das Antas	Ba	PRESENT		04481953-6112-489f-bb8d-9703d787e3ea									2004-11-26	26	11	2004	2952724	2952724	PRESERVED_SPECIMEN	UFRGS	ICN	192323	78552	Lewis"," GP		CC_BY_4_0	HerbÃ¡rio do Instituto de CiÃªncias Naturais	Hatschbach"," G; et al.		native	2025-01-19T16:44:19.030Z		INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH;DIFFERENT_OWNER_INSTITUTION",,,,,,,,,
"1095244913	e38d4c95-3a1d-4594-9ae9-883b48042e6d	https://specieslink.net/guid/399/69385	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Peltogyne	Peltogyne pauciflora		SPECIES	Peltogyne pauciflora Benth.	Peltogyne pauciflora	Benth.	BR	Ibiraba (= Icatu)", Santa Cruz, em frente ao povoado de Ibiraba," no caminho para os Brejos.	Ba	PRESENT	1	7ef169f9-81f8-46a2-a7f7-240df6a1889c	-10.8	-42.833333							1997-02-24	24	2	1997	2952724	2952724	PRESERVED_SPECIMEN	Cenargen	CEN	69385	4823	L. P. Queiroz	2004-10-01T00:00:00	CC_BY_4_0	HerbÃ¡rio da Embrapa Recursos GenÃ©ticos e Biotecnologia	Luciano Paganucci de Queiroz		native	2025-01-19T16:43:37.042Z		COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE",,,,,,,,
"1095244856	e38d4c95-3a1d-4594-9ae9-883b48042e6d	https://specieslink.net/guid/399/69384	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Peltogyne	Peltogyne pauciflora		SPECIES	Peltogyne pauciflora Benth.	Peltogyne pauciflora	Benth.	BR	Ibiraba (= Icatu)", Santa Cruz, em frente ao povoado de Ibiraba," no caminho para os Brejos.	Ba	PRESENT	1	7ef169f9-81f8-46a2-a7f7-240df6a1889c	-10.8	-42.833333							1997-02-24	24	2	1997	2952724	2952724	PRESERVED_SPECIMEN	Cenargen	CEN	69384	4819	L. P. Queiroz	2004-10-01T00:00:00	CC_BY_4_0	HerbÃ¡rio da Embrapa Recursos GenÃ©ticos e Biotecnologia	Luciano Paganucci de Queiroz		native	2025-01-19T16:43:37.063Z		COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE",,,,,,,,
"1095244549	e38d4c95-3a1d-4594-9ae9-883b48042e6d	https://specieslink.net/guid/399/69037	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Peltogyne	Peltogyne pauciflora		SPECIES	Peltogyne pauciflora Benth.	Peltogyne pauciflora	Benth.	BR	Fazenda SantarÃ©m.	Ba	PRESENT	1	7ef169f9-81f8-46a2-a7f7-240df6a1889c	-9.528333	-41.352777			459.0	0.0			2003-11-29	29	11	2003	2952724	2952724	PRESERVED_SPECIMEN	Cenargen	CEN	69037	8050	L. P. Queiroz	2003-11-01T00:00:00	CC_BY_4_0	HerbÃ¡rio da Embrapa Recursos GenÃ©ticos e Biotecnologia	Luciano Paganucci de Queiroz		native	2025-01-19T16:43:36.983Z		COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE",,,,,,,,,,,
"1095244402	e38d4c95-3a1d-4594-9ae9-883b48042e6d	https://specieslink.net/guid/399/68898	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Peltogyne	Peltogyne pauciflora		SPECIES	Peltogyne pauciflora Benth.	Peltogyne pauciflora	Benth.	BR	Morro da Quixaba.	Ba	PRESENT	1	7ef169f9-81f8-46a2-a7f7-240df6a1889c	-12.733333	-39.783333			410.0	0.0			1996-12-14	14	12	1996	2952724	2952724	PRESERVED_SPECIMEN	Cenargen	CEN	68898	1892			CC_BY_4_0	HerbÃ¡rio da Embrapa Recursos GenÃ©ticos e Biotecnologia	EfigÃªnia de Melo		native	2025-01-19T16:43:37.050Z		COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE",,,,,,,,,,,
