"species","Year","JulianDay"
"Marantochloa leucantha","1958",90
"Marantochloa leucantha","1990",50
"Marantochloa leucantha","1964",18
"Marantochloa leucantha","1970",27
"Marantochloa leucantha","1995",17
"Marantochloa leucantha","1962",90
"Marantochloa leucantha","1976",51
"Marantochloa leucantha","1964",18
"Marantochloa leucantha","1968",1
"Marantochloa leucantha","1970",51
"Marantochloa leucantha","1977",96
"Marantochloa leucantha","1965",62
"Marantochloa leucantha","1948",40
"Marantochloa leucantha","1961",30
"Marantochloa leucantha","1988",105
"Marantochloa leucantha","2000",92
"Marantochloa leucantha","1962",90
"Marantochloa leucantha","2000",92
"Marantochloa leucantha","1965",62
"Marantochloa leucantha","1958",90
"Marantochloa leucantha","1970",27
"Marantochloa leucantha","1965",62
"Marantochloa leucantha","1968",88
"Marantochloa leucantha","1966",56
"Marantochloa leucantha","1975",107
"Marantochloa leucantha","1972",94
"Marantochloa leucantha","1995",16
"Marantochloa leucantha","2018",93
"Marantochloa leucantha","1967",65
"Marantochloa leucantha","1954",29
"Marantochloa leucantha","1954",99
"Marantochloa leucantha",NA,NA
"Marantochloa leucantha","1930",13
"Marantochloa leucantha","1930",13
"Marantochloa leucantha","1954",99
"Marantochloa leucantha","1976",51
"Marantochloa leucantha","1968",88
"Marantochloa leucantha","1974",93
"Marantochloa leucantha","1974",89
"Marantochloa leucantha",NA,NA
"Marantochloa leucantha","1969",51
"Marantochloa leucantha","1970",27
"Marantochloa leucantha","1971",107
"Marantochloa leucantha","1962",90
"Marantochloa leucantha","1988",106
"Marantochloa leucantha",NA,NA
"Marantochloa leucantha","2012",34
"Marantochloa leucantha","1948",121
"Marantochloa leucantha","1950",72
"Marantochloa leucantha","1973",103
"Marantochloa leucantha","1972",105
"Marantochloa leucantha","1953",86
"Marantochloa leucantha","1990",50
"Marantochloa leucantha","1973",98
"Marantochloa leucantha","1972",3
"Marantochloa leucantha","1922",95
"Marantochloa leucantha","1995",120
"Marantochloa leucantha","1966",56
"Marantochloa leucantha","1984",37
"Marantochloa leucantha","1971",107
"Marantochloa leucantha","1961",30
"Marantochloa leucantha","2015",12
"Marantochloa leucantha","2015",100
"Marantochloa leucantha","2015",108
"Marantochloa leucantha","2009",15
"Marantochloa leucantha","2008",103
"Marantochloa leucantha","1968",88
"Marantochloa leucantha","2000",103
"Marantochloa leucantha","1990",50
"Marantochloa leucantha",NA,NA
"Marantochloa leucantha","2001",76
"Marantochloa leucantha","2000",78
"Marantochloa leucantha","1954",96
"Marantochloa leucantha","1988",106
"Marantochloa leucantha","1976",51
"Marantochloa leucantha","1970",27
"Marantochloa leucantha","1974",93
"Marantochloa leucantha",NA,NA
"Marantochloa leucantha","1958",16
"Marantochloa leucantha","2015",108
"Marantochloa leucantha","1958",16
"Marantochloa leucantha","1969",95
"Marantochloa leucantha","1971",80
"Marantochloa leucantha","1936",51
"Marantochloa leucantha","1914",17
"Marantochloa leucantha","1948",40
"Marantochloa leucantha","1940",107
"Marantochloa leucantha","1959",118
"Marantochloa leucantha","1958",35
"Marantochloa leucantha","1968",9
"Marantochloa leucantha","1948",31
"Marantochloa leucantha","1949",18
"Marantochloa leucantha","1972",37
"Marantochloa leucantha","1936",51
"Marantochloa leucantha","1939",83
"Marantochloa leucantha","1910",46
"Marantochloa leucantha","1958",115
"Marantochloa leucantha","1977",96
"Marantochloa leucantha","1952",70
"Marantochloa leucantha","1904",16
"Marantochloa leucantha",NA,NA
"Marantochloa leucantha",NA,NA
"Marantochloa leucantha","1954",96
"Marantochloa leucantha","1959",96
"Marantochloa leucantha","1915",82
"Marantochloa leucantha","1955",69
"Marantochloa leucantha","1958",59
"Marantochloa leucantha","1957",24
"Marantochloa leucantha",NA,NA
"Marantochloa leucantha","1962",15
"Marantochloa leucantha","1958",46
"Marantochloa leucantha","1984",10
"Marantochloa leucantha",NA,NA
"Marantochloa leucantha","1984",37
"Marantochloa leucantha","2009",74
"Marantochloa leucantha","2012",37
"Marantochloa leucantha","2012",34
"Marantochloa leucantha","2009",15
