"gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue",,,,,,,,,,
"2515418197	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/U.1064931	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Porcelia	Porcelia ponderosa		SPECIES	Porcelia ponderosa (Rusby) Rusby	Porcelia ponderosa (Rusby) Rusby	(Rusby) Rusby	PE		HuÃ¡nuco	PRESENT		396d5f30-dea9-11db-8ab4-b8a03c50a862									1988-10-01	1	10	1988	3156215	3156215	PRESERVED_SPECIMEN		Botany	U.1064931	WallnÃ¶fer"," B 110-11088	Maas PJM; Chatrou LW		CC0_1_0	Naturalis Biodiversity Center	WallnÃ¶fer B			2024-11-01T10:27:43.853Z	StillImage	",,,,,,,,,
"2515360221	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/U.1080028	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Porcelia	Porcelia ponderosa		SPECIES	Porcelia ponderosa (Rusby) Rusby	Porcelia ponderosa (Rusby) Rusby	(Rusby) Rusby	BR		Acre	PRESENT		396d5f30-dea9-11db-8ab4-b8a03c50a862									1993-10-21	21	10	1993	3156215	3156215	PRESERVED_SPECIMEN		Botany	U.1080028	Silveira"," M; et al. 572	Maas PJM; Chatrou LW		CC0_1_0	Naturalis Biodiversity Center	Silveira M; et al.			2024-11-01T10:27:43.818Z	StillImage	",,,,,,,,,
"2515301843	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/U.1064992	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Porcelia	Porcelia ponderosa		SPECIES	Porcelia ponderosa (Rusby) Rusby	Porcelia ponderosa (Rusby) Rusby	(Rusby) Rusby	PE		Cuzco	PRESENT		396d5f30-dea9-11db-8ab4-b8a03c50a862									1984-10-23	23	10	1984	3156215	3156215	PRESERVED_SPECIMEN		Botany	U.1064992	Maas"," PJM 6137	Maas PJM; Chatrou LW		CC0_1_0	Naturalis Biodiversity Center	Maas PJM			2024-11-01T10:29:18.346Z	StillImage	",,,,,,,,,
"2515281420	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/U.1080024	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Porcelia	Porcelia ponderosa		SPECIES	Porcelia ponderosa (Rusby) Rusby	Porcelia ponderosa (Rusby) Rusby	(Rusby) Rusby	BR		Acre	PRESENT		396d5f30-dea9-11db-8ab4-b8a03c50a862	-9.36667	-69.93333							2001-10-30	30	10	2001	3156215	3156215	PRESERVED_SPECIMEN		Botany	U.1080024	Daly"," DC; et al. 11215	Maas PJM		CC0_1_0	Naturalis Biodiversity Center	Daly DC; et al.			2024-11-01T10:27:43.817Z	StillImage	",,,,,,,,,
"2515281185	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/U.1064936	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Porcelia	Porcelia ponderosa		SPECIES	Porcelia ponderosa (Rusby) Rusby	Porcelia ponderosa (Rusby) Rusby	(Rusby) Rusby	PE		Madre de Dios	PRESENT		396d5f30-dea9-11db-8ab4-b8a03c50a862									1986-09-11	11	9	1986	3156215	3156215	PRESERVED_SPECIMEN		Botany	U.1064936	NÃºÃ±ez Vargas"," P 6077	Maas PJM; Chatrou LW		CC0_1_0	Naturalis Biodiversity Center	NÃºÃ±ez Vargas P			2024-11-01T10:29:00.325Z	StillImage	",,,,,,,,,
"2515261516	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/U.1064991	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Porcelia	Porcelia ponderosa		SPECIES	Porcelia ponderosa (Rusby) Rusby	Porcelia ponderosa (Rusby) Rusby	(Rusby) Rusby	PE	Codo de Pozuzo", alluvial floodplain of rio Pozuzo after it emerges from the mountains," trail W of settlement to lower mountain slopes	HuÃ¡nuco	PRESENT		396d5f30-dea9-11db-8ab4-b8a03c50a862	-9.66667	-75.46667							1982-10-17	17	10	1982	3156215	3156215	PRESERVED_SPECIMEN		Botany	U.1064991	Foster"," RB 9223	Maas PJM; Chatrou LW		CC0_1_0	Naturalis Biodiversity Center	Foster RB			2024-11-01T10:27:43.548Z	StillImage	",,,,,,,
"2515184703	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/U.1080025	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Porcelia	Porcelia ponderosa		SPECIES	Porcelia ponderosa (Rusby) Rusby	Porcelia ponderosa (Rusby) Rusby	(Rusby) Rusby	BR		Acre	PRESENT		396d5f30-dea9-11db-8ab4-b8a03c50a862	-9.11667	-70.16667							2001-10-26	26	10	2001	3156215	3156215	PRESERVED_SPECIMEN		Botany	U.1080025	Daly"," DC; et al. 11109	Maas PJM		CC0_1_0	Naturalis Biodiversity Center	Daly DC; et al.			2024-11-01T10:29:35.298Z	StillImage	",,,,,,,,,
"2397868845	bf0dd71d-364c-4f16-8612-2661f07f40a2	https://specieslink.net/guid/203/14824	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Porcelia	Porcelia ponderosa		SPECIES	Porcelia ponderosa (Rusby) Rusby	Porcelia ponderosa	(Rusby) Rusby	BR	Reserva Extrativista Alto JuruÃ¡"," seringal Boa Vista da UniÃ£o.	Acre	PRESENT		61b0ba19-5ebf-4bb2-8591-531d6f3b7eb7									2000-09-18	18	9	2000	3156215	3156215	PRESERVED_SPECIMEN	UFAC	UFACPZ	14824	690	Maas"," P J M	2001-01-01T00:00:00	CC_BY_4_0	HerbÃ¡rio da Universidade Federal do Acre	Rivero", I; Souza, MCC; OLIVEIRA, E C; Bandeira," JR		native	2025-01-19T16:39:17.433Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_NONE",,,,
"2397864121	bf0dd71d-364c-4f16-8612-2661f07f40a2	https://specieslink.net/guid/203/9690	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Porcelia	Porcelia ponderosa		SPECIES	Porcelia ponderosa (Rusby) Rusby	Porcelia ponderosa	(Rusby) Rusby	BR	River at low water. Seringal universo"," colocaÃ§Ã£o Cumaru.	Acre	PRESENT		61b0ba19-5ebf-4bb2-8591-531d6f3b7eb7	-8.0	-71.0							1994-09-21	21	9	1994	3156215	3156215	PRESERVED_SPECIMEN	UFAC	UFACPZ	9690	8295	Maas"," P J M	2001-01-01T00:00:00	CC_BY_4_0	HerbÃ¡rio da Universidade Federal do Acre	Daly", DC; Silveira, M; Saraiva, R; Lima, L A; GOLDSTEIN," N		native	2025-01-19T16:39:20.133Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE",,,
"2397861454	bf0dd71d-364c-4f16-8612-2661f07f40a2	https://specieslink.net/guid/203/6185	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Porcelia	Porcelia ponderosa		SPECIES	Porcelia ponderosa (Rusby) Rusby	Porcelia ponderosa	(Rusby) Rusby	BR	Bacia do Rio Purus", Fazenda Nova Olinda, carreador dos palmares," ca. 8 km da sede.	Acre	PRESENT		61b0ba19-5ebf-4bb2-8591-531d6f3b7eb7	-10.0	-69.0							1993-10-21	21	10	1993	3156215	3156215	PRESERVED_SPECIMEN	UFAC	UFACPZ	6185	572	Maas"," P J M	1996-01-01T00:00:00	CC_BY_4_0	HerbÃ¡rio da Universidade Federal do Acre	Silveira", M; Daly, DC; Saraiva, RS; WALTHIER, F C; Silva, DAG; Pardo," M		native	2025-01-19T16:39:20.621Z		CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
