"gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue",,,,,,,
"1260410226	e053ff53-c156-4e2e-b9b5-4462e9625424	urn:catalog:MO:Tropicos:3035171	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba trischistandra		SPECIES	Ceiba trischistandra (A.Gray) Bakh.	Ceiba trischistandra (A. Gray) Bakh.	(A. Gray) Bakh.	EC	pr. Catamayo", Cajanuma," ladera con Croton y Acacia	Loja	PRESENT	3	90fd6680-349f-11d8-aa2d-b8a03c50a862	-4.09638	-79.36138			1390.0				2006-07-24	24	7	2006	8382405	8382405	PRESERVED_SPECIMEN	QCNE	Tropicos	3035171	13160			CC_BY_4_0	Missouri Botanical Garden	Carlos Aedo;L. GutiÃ©rrez;Carmen Ulloa			2025-01-25T18:14:29.377Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION",,,,,
"1260017557	e053ff53-c156-4e2e-b9b5-4462e9625424	urn:catalog:MO:Tropicos:2678623	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba trischistandra		SPECIES	Ceiba trischistandra (A.Gray) Bakh.	Ceiba trischistandra (A. Gray) Bakh.	(A. Gray) Bakh.	EC	Jipijapa-Pto. Cayo road km 8. Dry decidous forest.	ManabÃ­	PRESENT		90fd6680-349f-11d8-aa2d-b8a03c50a862	-1.36666	-80.58333			250.0				1995-07-26	26	7	1995	8382405	8382405	PRESERVED_SPECIMEN	AAU	Tropicos	2678623	104404			CC_BY_4_0	Missouri Botanical Garden	H.B. Pedersen			2025-01-25T18:14:25.284Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION",,,,,,,
"1259169425	7bd65a7a-f762-11e1-a439-00145eb45e9a	urn:catalog:MO:Tropicos:190899	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba trischistandra		SPECIES	Ceiba trischistandra (A.Gray) Bakh.	Ceiba trischistandra (A. Gray) Bakh.	(A. Gray) Bakh.	PE	Cerros de Amotape", Quebrada Los Conejos," ca. 25 km SE of Cherralique. Premontane moist forest. Transect 3	Tumbes	PRESENT	5	90fd6680-349f-11d8-aa2d-b8a03c50a862	-4.15	-80.61666			700.0	100.0			1987-06-10	10	6	1987	8382405	8382405	PRESERVED_SPECIMEN	MO	Tropicos	190899	58264	A. Gentry	1987-01-01T00:00:00	CC_BY_4_0	Missouri Botanical Garden	Alwyn H. Gentry;Camilo DÃ­az S.			2025-01-25T19:28:43.053Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY",,,,,
"1259162112	e053ff53-c156-4e2e-b9b5-4462e9625424	urn:catalog:MO:Tropicos:190237	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba trischistandra		SPECIES	Ceiba trischistandra (A.Gray) Bakh.	Ceiba trischistandra (A. Gray) Bakh.	(A. Gray) Bakh.	EC	Disturbed Ceiba-forest close to Puertoviejo.	Pichincha	PRESENT		90fd6680-349f-11d8-aa2d-b8a03c50a862	-1.03333	-80.51666			100.0				1982-06-04	4	6	1982	8382405	8382405	PRESERVED_SPECIMEN	AAU	Tropicos	190237	40124			CC_BY_4_0	Missouri Botanical Garden	Lars P. Kvist;L.B. Holm-Nielsen			2025-01-25T18:15:52.786Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION",,,,,,,
"1259151443	7bd65a7a-f762-11e1-a439-00145eb45e9a	urn:catalog:MO:Tropicos:189267	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba trischistandra		SPECIES	Ceiba trischistandra (A.Gray) Bakh.	Ceiba trischistandra (A. Gray) Bakh.	(A. Gray) Bakh.	PE	""Casitas; Parque Nacional """"Cerros de Amotape"""""," Quebrada del PlÃ¡tano.""	Tumbes	PRESENT	6	90fd6680-349f-11d8-aa2d-b8a03c50a862	-4.133333	-80.583333							1990-05-03	3	5	1990	8382405	8382405	PRESERVED_SPECIMEN	MO	Tropicos	189267	4048			CC_BY_4_0	Missouri Botanical Garden	Camilo DÃ­az S.;E. PeÃ±a Cruz			2025-01-25T19:25:58.075Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY",,,,,,
"1259148156	e053ff53-c156-4e2e-b9b5-4462e9625424	urn:catalog:MO:Tropicos:188970	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba trischistandra		SPECIES	Ceiba trischistandra (A.Gray) Bakh.	Ceiba trischistandra (A. Gray) Bakh.	(A. Gray) Bakh.	EC	Isla PunÃ¡. Path Campo Alegre to RÃ­o Hondo. Dry forest with scattered trees and understory scrub and vines. (80Â° 3-7Â´W; 2Â° 49Â´S).	Guayas	PRESENT		90fd6680-349f-11d8-aa2d-b8a03c50a862	-2.81666	-80.05							1987-07-08	8	7	1987	8382405	8382405	PRESERVED_SPECIMEN	AAU	Tropicos	188970	63816			CC_BY_4_0	Missouri Botanical Garden	Jens E. Madsen			2025-01-25T18:15:54.052Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION",,,,,,,
"1259148066	e053ff53-c156-4e2e-b9b5-4462e9625424	urn:catalog:MO:Tropicos:188963	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba trischistandra		SPECIES	Ceiba trischistandra (A.Gray) Bakh.	Ceiba trischistandra (A. Gray) Bakh.	(A. Gray) Bakh.	EC	Isla PunÃ¡. Path Campo Alegre to midway PunÃ¡ Vieja (e.g. to Pampa Larga). Dry forest with scattered"," deciduous trees and shrubs.	Guayas	PRESENT		90fd6680-349f-11d8-aa2d-b8a03c50a862	-2.81666	-80.13333							1987-07-07	7	7	1987	8382405	8382405	PRESERVED_SPECIMEN	AAU	Tropicos	188963	63808			CC_BY_4_0	Missouri Botanical Garden	Jens E. Madsen			2025-01-25T18:15:54.476Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION",,,,,,
"1259148003	e053ff53-c156-4e2e-b9b5-4462e9625424	urn:catalog:MO:Tropicos:188957	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba trischistandra		SPECIES	Ceiba trischistandra (A.Gray) Bakh.	Ceiba trischistandra (A. Gray) Bakh.	(A. Gray) Bakh.	EC	Isla PunÃ¡. Campo Alegre to Cauchiche. Xerophytic thickets and dry forest with Ceiba trichistandra. Now overgrown with flowering vines"," rather undisturbed.	Guayas	PRESENT		90fd6680-349f-11d8-aa2d-b8a03c50a862	-2.8	-80.13333							1987-06-08	8	6	1987	8382405	8382405	PRESERVED_SPECIMEN	AAU	Tropicos	188957	63631			CC_BY_4_0	Missouri Botanical Garden	Jens E. Madsen			2025-01-25T18:13:49.411Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION",,,,,,
"1259141424	7bd65a7a-f762-11e1-a439-00145eb45e9a	urn:catalog:MO:Tropicos:188348	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba trischistandra		SPECIES	Ceiba trischistandra (A.Gray) Bakh.	Ceiba trischistandra (A. Gray) Bakh.	(A. Gray) Bakh.	PE	Cerros de Amotape", Quebrada Los Conejos and adjacent ridge," ca. 25 km SE of Cherrelique. Premontane moist forest.	Tumbes	PRESENT	4	90fd6680-349f-11d8-aa2d-b8a03c50a862	-4.15	-80.61666			725.0	125.0			1987-06-10	10	6	1987	8382405	8382405	PRESERVED_SPECIMEN	MO	Tropicos	188348	58328	J.L. Fernandez Alonso (COL)	2015-01-01T00:00:00	CC_BY_4_0	Missouri Botanical Garden	Alwyn H. Gentry;Camilo DÃ­az S.			2025-01-25T19:28:44.351Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY",,,,,
"1259141018	7bd65a7a-f762-11e1-a439-00145eb45e9a	urn:catalog:MO:Tropicos:188314	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba trischistandra		SPECIES	Ceiba trischistandra (A.Gray) Bakh.	Ceiba trischistandra (A. Gray) Bakh.	(A. Gray) Bakh.	PE	Lima.	Lima	PRESENT	1	90fd6680-349f-11d8-aa2d-b8a03c50a862									1976-06-30	30	6	1976	8382405	8382405	PRESERVED_SPECIMEN	MO	Tropicos	188314	16453	P.E. Gibbs (STA)	2001-01-01T00:00:00	CC_BY_4_0	Missouri Botanical Garden	Alwyn H. Gentry;Ghillean T. Prance			2025-01-25T19:25:58.327Z		TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY",,,,,,,
"1258670227	e053ff53-c156-4e2e-b9b5-4462e9625424	urn:catalog:MO:Tropicos:1442458	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba trischistandra		SPECIES	Ceiba trischistandra (A.Gray) Bakh.	Ceiba trischistandra (A. Gray) Bakh.	(A. Gray) Bakh.	EC	Chacras de Manta"," on road from Manta to San Lorenzo. Very dry tropical forest on ridges.	ManabÃ­	PRESENT		90fd6680-349f-11d8-aa2d-b8a03c50a862	-1.03333	-80.8			100.0				1999-05-08	8	5	1999	8382405	8382405	PRESERVED_SPECIMEN	QCNE	Tropicos	1442458	11875	D.A. Neill	1999-01-01T00:00:00	CC_BY_4_0	Missouri Botanical Garden	David A. Neill;QCNE Botany Interns			2025-01-25T18:14:08.546Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION",,,,,,
"1258400609	e053ff53-c156-4e2e-b9b5-4462e9625424	urn:catalog:MO:Tropicos:1194482	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba trischistandra		SPECIES	Ceiba trischistandra (A.Gray) Bakh.	Ceiba trischistandra (A. Gray) Bakh.	(A. Gray) Bakh.	EC	14 km southwest of Manta on new road to San Lorenzo. Tropical Dry Forest scrub formation dominated by Ceiba trichistandra", Eriotheca ruizii," and columnar cacti.	ManabÃ­	PRESENT		90fd6680-349f-11d8-aa2d-b8a03c50a862	-1.01666	-80.78333			300.0				1997-06-02	2	6	1997	8382405	8382405	PRESERVED_SPECIMEN	QCNE	Tropicos	1194482	10702	D.A. Neill	1997-01-01T00:00:00	CC_BY_4_0	Missouri Botanical Garden	David A. Neill;Mercedes Asanza			2025-01-25T18:16:01.015Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION",,,,,
"1228182902	90c853e6-56bd-480b-8e8f-6285c3f8d42b	754bb7bd-0de8-4876-abc2-977e55810d9d	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba trischistandra		SPECIES	Ceiba trischistandra (A.Gray) Bakh.	Ceiba trischistandra (A. Gray) Bakh.		PE	Lima	Lima	PRESENT		7b8aff00-a9f8-11d8-944b-b8a03c50a862	-12.0	-76.6333							1976-06-30	30	6	1976	8382405	8382405	PRESERVED_SPECIMEN	F	Botany		16453	P. E. Gibbs	1999-01-01T00:00:00	CC0_1_0	The Field Museum of Natural History	A. H. Gentry			2024-01-25T11:00:01.738Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_FUZZY",,,,,,,
"1096749085	0943f690-fde5-11dd-83f4-b8a03c50a862	S:VascularPlants:S11-1089	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba trischistandra		SPECIES	Ceiba trischistandra (A.Gray) Bakh.	Ceiba trichistandra (A. Gray) Bakh	(A. Gray) Bakh	EC	Plants of Ecuador", prov. Manabi," c. 2 km before Machalilla on road from Salinas	Manabi	PRESENT		6ba9a8cc-513a-4a51-bf93-6f5de8040a96	-1.483333	-80.75			50.0				1991-05-07	7	5	1991	8382405	8382405	PRESERVED_SPECIMEN	S	VascularPlants	S11-1089				CC_BY_4_0		Jette Knudsen & L. Tollsten			2025-01-21T14:40:11.241Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;AMBIGUOUS_COLLECTION",,,,,
"1096627069	0943f690-fde5-11dd-83f4-b8a03c50a862	S:VascularPlants:S06-20487	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba trischistandra		SPECIES	Ceiba trischistandra (A.Gray) Bakh.	Ceiba trichistandra (A. Gray) Bakh	(A. Gray) Bakh	EC	Prov. Manabi. Bahia de Caraquez", dry light wood. Tree at least 30 m high, stem spiny, calyx brilliant crimson, petals white, faintly tinged with green without," anthers light yellow. Iter Regnellianum sextum. Flora aequatoriensis	Manabi	PRESENT		6ba9a8cc-513a-4a51-bf93-6f5de8040a96									1955-06-06	6	6	1955	8382405	8382405	PRESERVED_SPECIMEN	S	VascularPlants	S06-20487				CC_BY_4_0		Erik Asplund			2025-01-21T14:40:21.991Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_FUZZY;AMBIGUOUS_COLLECTION",
"1096627066	0943f690-fde5-11dd-83f4-b8a03c50a862	S:VascularPlants:S06-20488	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba trischistandra		SPECIES	Ceiba trischistandra (A.Gray) Bakh.	Ceiba trichistandra (A. Gray) Bakh	(A. Gray) Bakh	EC	Prov. Guayas", Guayaquil, single tree on shore of Estero Salado near the bridge of the highway to Salinas. Tree hardly 10 m high, stem sparingly spiny, calyx brilliant crimson, petals white, faintly tinged with green without," anthers light yellow. Iter Regnellianum sextum. Flora aequatoriensis	Guayas	PRESENT		6ba9a8cc-513a-4a51-bf93-6f5de8040a96									1955-06-12	12	6	1955	8382405	8382405	PRESERVED_SPECIMEN	S	VascularPlants	S06-20488				CC_BY_4_0		Erik Asplund			2025-01-21T14:40:21.848Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_FUZZY;AMBIGUOUS_COLLECTION"
"1096627039	0943f690-fde5-11dd-83f4-b8a03c50a862	S:VascularPlants:S06-20485	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Ceiba	Ceiba trischistandra		SPECIES	Ceiba trischistandra (A.Gray) Bakh.	Ceiba trichistandra (A. Gray) Bakh	(A. Gray) Bakh	EC	Prov. Guayas", Guayaquil, single tree on shore of Estero Salado near the bridge of the highway to Salinas. Tree hardly 10 high, stem sparingly spiny, calyx brilliant crimson, petals white, faintly tinged with green without," anthers light yellow. Iter Regnellianum sextum. Flora aequatoriensis	Guayas	PRESENT		6ba9a8cc-513a-4a51-bf93-6f5de8040a96									1955-06-12	12	6	1955	8382405	8382405	PRESERVED_SPECIMEN	S	VascularPlants	S06-20485				CC_BY_4_0		Erik Asplund			2025-01-21T14:40:21.452Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_FUZZY;AMBIGUOUS_COLLECTION"
