"species","Year","JulianDay"
"Aeschynomene indica",NA,NA
"Aeschynomene indica","1995",58
"Aeschynomene indica","2004",34
"Aeschynomene indica","2009",56
"Aeschynomene indica","1995",3
"Aeschynomene indica","2004",60
"Aeschynomene indica","1953",43
"Aeschynomene indica","2009",24
"Aeschynomene indica",NA,NA
"Aeschynomene indica","1958",42
"Aeschynomene indica","1973",31
"Aeschynomene indica","1941",45
"Aeschynomene indica","1965",21
"Aeschynomene indica","1927",2
"Aeschynomene indica","1971",57
"Aeschynomene indica","1971",51
"Aeschynomene indica","1990",27
"Aeschynomene indica","2007",58
"Aeschynomene indica","2004",60
"Aeschynomene indica","2013",52
"Aeschynomene indica","1978",28
"Aeschynomene indica","1976",48
"Aeschynomene indica","1937",59
"Aeschynomene indica","1974",13
"Aeschynomene indica","2004",49
"Aeschynomene indica",NA,NA
"Aeschynomene indica",NA,NA
"Aeschynomene indica","2006",54
"Aeschynomene indica","2000",11
"Aeschynomene indica","1992",54
"Aeschynomene indica","1996",46
"Aeschynomene indica",NA,NA
"Aeschynomene indica","1971",13
"Aeschynomene indica","2004",60
"Aeschynomene indica","1937",59
"Aeschynomene indica","2009",24
"Aeschynomene indica","1990",7
"Aeschynomene indica","2005",58
"Aeschynomene indica","1972",25
"Aeschynomene indica","1985",38
"Aeschynomene indica","1971",13
"Aeschynomene indica","1973",38
"Aeschynomene indica","1975",13
"Aeschynomene indica","1992",45
"Aeschynomene indica","1963",45
"Aeschynomene indica","1991",20
"Aeschynomene indica","1984",59
"Aeschynomene indica","1986",39
"Aeschynomene indica","1998",50
"Aeschynomene indica","2019",59
"Aeschynomene indica","1999",32
"Aeschynomene indica",NA,NA
"Aeschynomene indica",NA,NA
"Aeschynomene indica","1977",13
"Aeschynomene indica","1912",24
"Aeschynomene indica","1974",8
"Aeschynomene indica","1912",24
"Aeschynomene indica","1912",24
"Aeschynomene indica","1978",56
"Aeschynomene indica","1965",3
"Aeschynomene indica","2003",5
"Aeschynomene indica","1975",43
"Aeschynomene indica","1981",56
"Aeschynomene indica","1949",1
"Aeschynomene indica","1912",24
"Aeschynomene indica","1985",50
"Aeschynomene indica","1977",59
"Aeschynomene indica","1965",3
"Aeschynomene indica","1978",27
"Aeschynomene indica","1979",55
"Aeschynomene indica","2003",5
"Aeschynomene indica","1975",57
"Aeschynomene indica","1981",56
"Aeschynomene indica","1966",54
"Aeschynomene indica","1965",3
"Aeschynomene indica","1915",32
"Aeschynomene indica","1950",25
"Aeschynomene indica","1890",32
"Aeschynomene indica","1904",1
"Aeschynomene indica","1969",7
"Aeschynomene indica","1912",24
"Aeschynomene indica","1912",60
"Aeschynomene indica","1910",32
"Aeschynomene indica","1934",47
"Aeschynomene indica","1901",2
"Aeschynomene indica","1913",32
"Aeschynomene indica","1979",13
"Aeschynomene indica","1933",52
"Aeschynomene indica","1941",21
"Aeschynomene indica","1950",32
"Aeschynomene indica","1933",52
"Aeschynomene indica","1985",50
"Aeschynomene indica","1971",26
"Aeschynomene indica","1915",32
"Aeschynomene indica","1931",37
"Aeschynomene indica","1864",56
"Aeschynomene indica",NA,NA
"Aeschynomene indica","2005",58
"Aeschynomene indica","1996",52
"Aeschynomene indica","2005",56
"Aeschynomene indica","1996",40
"Aeschynomene indica","1996",26
"Aeschynomene indica","2004",60
"Aeschynomene indica","1918",42
"Aeschynomene indica","2013",52
"Aeschynomene indica","2000",40
"Aeschynomene indica","1996",30
"Aeschynomene indica","1996",26
"Aeschynomene indica","2016",54
"Aeschynomene indica","1996",52
"Aeschynomene indica","1995",51
"Aeschynomene indica","1993",44
"Aeschynomene indica","1973",1
"Aeschynomene indica","2000",1
"Aeschynomene indica","1935",47
"Aeschynomene indica","2005",56
"Aeschynomene indica","1996",10
"Aeschynomene indica","2005",57
"Aeschynomene indica","1995",1
"Aeschynomene indica","1980",48
"Aeschynomene indica","1996",46
"Aeschynomene indica","2002",29
"Aeschynomene indica","2006",54
"Aeschynomene indica","1998",34
"Aeschynomene indica","1980",49
"Aeschynomene indica","2009",24
"Aeschynomene indica","2014",55
"Aeschynomene indica","1931",37
"Aeschynomene indica","1935",53
"Aeschynomene indica","1998",24
"Aeschynomene indica","2006",59
"Aeschynomene indica","1996",40
"Aeschynomene indica","1972",26
"Aeschynomene indica","2007",16
"Aeschynomene indica","2006",32
"Aeschynomene indica","2005",58
"Aeschynomene indica","2004",49
"Aeschynomene indica","2001",30
"Aeschynomene indica","1976",5
"Aeschynomene indica","2012",54
"Aeschynomene indica","2012",54
"Aeschynomene indica","2012",54
"Aeschynomene indica","2013",45
"Aeschynomene indica","2013",45
"Aeschynomene indica","2013",45
"Aeschynomene indica","2013",45
"Aeschynomene indica","2013",45
"Aeschynomene indica","2013",45
"Aeschynomene indica","2013",45
"Aeschynomene indica","2013",45
"Aeschynomene indica","2013",45
"Aeschynomene indica","2019",36
"Aeschynomene indica","1965",58
"Aeschynomene indica","1954",59
"Aeschynomene indica","1968",53
"Aeschynomene indica","1968",24
"Aeschynomene indica","1935",12
"Aeschynomene indica","1938",53
"Aeschynomene indica","1900",43
"Aeschynomene indica","1942",24
"Aeschynomene indica",NA,NA
"Aeschynomene indica","1886",49
"Aeschynomene indica","1966",55
"Aeschynomene indica","1977",13
"Aeschynomene indica",NA,NA
"Aeschynomene indica","1955",47
"Aeschynomene indica","1949",24
"Aeschynomene indica","1957",35
"Aeschynomene indica",NA,NA
"Aeschynomene indica",NA,NA
"Aeschynomene indica",NA,NA
"Aeschynomene indica","1968",23
"Aeschynomene indica","1981",56
"Aeschynomene indica","1975",54
"Aeschynomene indica","1972",44
"Aeschynomene indica","1980",51
"Aeschynomene indica","1952",17
"Aeschynomene indica","1950",41
"Aeschynomene indica","1947",33
"Aeschynomene indica","1938",39
"Aeschynomene indica","1938",39
"Aeschynomene indica","1956",40
"Aeschynomene indica","1912",55
"Aeschynomene indica",NA,NA
"Aeschynomene indica","1886",49
"Aeschynomene indica",NA,NA
"Aeschynomene indica","1922",1
"Aeschynomene indica","2000",40
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
"Aeschynomene indica","2012",1
