"gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue"				
"2997045747	9118eee0-42d2-4a27-9ae0-78d49d163a5b	3276550	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Chrysobalanaceae	Acioa	Acioa edulis		SPECIES	Couepia edulis (Prance) Prance	Couepia edulis (Prance) Prance	(Prance) Prance	BR	Road to airport"	 Km 6	" Farm of Sr. Nascimento	Amazonas	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a									1975-02-10	10	2	1975	2984896	2984895	PRESERVED_SPECIMEN	MNHN	P	P04848383	P/23251			CC_BY_4_0	P	J.F. Ramos;"	"Ramos			2025-01-01T12:11:16.960Z		CONTINENT_DERIVED_FROM_COUNTRY;RECORDED_DATE_INVALID;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"	
"2996018857	cde44dc3-3b14-49d9-840b-5073d5284e9e	2668576	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Chrysobalanaceae	Acioa	Acioa edulis		SPECIES	Couepia edulis (Prance) Prance	Couepia edulis (Prance) Prance	(Prance) Prance	BR	Coari"	 Road to airport	 Km 6	" Farm of Sr. Nascimento.	Amazonas	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a									1975-02-10	10	2	1975	2984896	2984895	PRESERVED_SPECIMEN	W	W	W19760011043	P23251	G.T. Prance	1975-01-01T00:00:00	CC_BY_4_0	W	J.F. Ramos			2025-01-01T14:32:51.833Z		CONTINENT_DERIVED_FROM_COUNTRY;RECORDED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"	
"2517791873	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/WAG.1390098	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Chrysobalanaceae	Acioa	Acioa edulis		SPECIES	Acioa edulis Prance	Acioa edulis Prance	Prance	BR	Coari"	" road to the airport. km 6 farm of Sr. Nascimento.		PRESENT		396d5f30-dea9-11db-8ab4-b8a03c50a862									1975-02-10	10	2	1975	2984895	2984895	PRESERVED_SPECIMEN		Botany	WAG.1390098	Ramos"	" JF P 23251			CC0_1_0	Naturalis Biodiversity Center	Ramos JF			2024-11-01T10:28:17.968Z	StillImage	"		
"2517784852	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/WAG.1390097	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Chrysobalanaceae	Acioa	Acioa edulis		SPECIES	Acioa edulis Prance	Acioa edulis Prance	Prance	BR	Coari"	" road to the airport. km 6 farm of Sr. Nascimento.		PRESENT		396d5f30-dea9-11db-8ab4-b8a03c50a862									1975-02-10	10	2	1975	2984895	2984895	PRESERVED_SPECIMEN		Botany	WAG.1390097	Ramos"	" JF P 23251	Sothers CA	2000-10-18T00:00:00	CC0_1_0	Naturalis Biodiversity Center	Ramos JF			2024-11-01T10:28:17.549Z	StillImage	"		
"2517381510	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/U.1203078	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Chrysobalanaceae	Acioa	Acioa edulis		SPECIES	Couepia edulis (Prance) Prance	Couepia edulis (Prance) Prance	(Prance) Prance	BR	Plants of Brazilian Amazonia. State of Amazonas. Coari"	 road to airport	" km 6. Farm of Sr. Nascimento.		PRESENT		396d5f30-dea9-11db-8ab4-b8a03c50a862									1975-02-10	10	2	1975	2984896	2984895	PRESERVED_SPECIMEN		Botany	U.1203078	Ramos"	" JF P 23251			CC0_1_0	Naturalis Biodiversity Center	Ramos JF			2024-11-01T10:29:19.338Z	StillImage	"	
"2517351504	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/U.1203079	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Chrysobalanaceae	Acioa	Acioa edulis		SPECIES	Couepia edulis (Prance) Prance	Couepia edulis (Prance) Prance	(Prance) Prance	BR	Plants of Brazilian Amazonia. State of Amazonas. Coari"	 road to airport	" km 6. Farm of Sr. Nascimento.		PRESENT		396d5f30-dea9-11db-8ab4-b8a03c50a862									1975-02-10	10	2	1975	2984896	2984895	PRESERVED_SPECIMEN		Botany	U.1203079	Ramos"	" JF P 23251			CC0_1_0	Naturalis Biodiversity Center	Ramos JF			2024-11-01T10:27:46.229Z	StillImage	"	
"2515111463	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/L.1876938	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Chrysobalanaceae	Acioa	Acioa edulis		SPECIES	Couepia edulis (Prance) Prance	Couepia edulis (Prance) Prance	(Prance) Prance	BR	Plants of Brazilian Amazonia. State of Amazonas. Coari"	 road to airport	" km 6. Farm of Sr. Nascimento.		PRESENT		396d5f30-dea9-11db-8ab4-b8a03c50a862									1975-02-10	10	2	1975	2984896	2984895	PRESERVED_SPECIMEN		Botany	L.1876938	Ramos"	" JF P 23251			CC0_1_0	Naturalis Biodiversity Center	Ramos JF			2024-11-01T10:28:37.861Z	StillImage	"	
"2302457228	af0ac0ba-b895-47a2-ac64-30517f109c33	3736306	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Chrysobalanaceae	Acioa	Acioa edulis		SPECIES	Acioa edulis Prance	Acioa edulis Prance	Prance	BR	Coari Road to airport"	 km 6	" Farm of Sr. Nascimento.	Amazonas	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a									1975-02-10	10	2	1975	2984895	2984895	PRESERVED_SPECIMEN	IAN	IAN	IAN153967	23251	Prance"	" GT	2016-08-25T00:00:00	CC_BY_4_0	IAN	Ramos"	" JF			2025-01-01T15:32:04.480Z		CONTINENT_DERIVED_FROM_COUNTRY;RECORDED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"2235983850	821cc27a-e3bb-4bc5-ac34-89ada245069d	http://n2t.net/ark:/65665/38b46c40d-22c4-472b-9a7e-c58683095fb2	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Chrysobalanaceae	Acioa	Acioa edulis		SPECIES	Acioa edulis Prance	Acioa edulis	Prance	BR	Road to airport"	 km 6	" Farm of Sr. Nascimento	Amazonas	PRESENT	1	bc092ff0-02e4-11dc-991f-b8a03c50a862									1975-02-10	10	2	1975	2984895	2984895	PRESERVED_SPECIMEN	US	US	US 2839093	P23251			CC0_1_0		J. F. Ramos			2025-01-02T13:38:16.076Z	StillImage	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT"		
"1930508094	d415c253-4d61-4459-9d25-4015b9084fb0	c1ca95aa-3770-4e21-82a0-b81307e9ca8c	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Chrysobalanaceae	Acioa	Acioa edulis		SPECIES	Couepia edulis (Prance) Prance	Couepia edulis Prance	Prance	BR	Coari"	 road to airport	 km. 6	" Farm of Sr. Nacimento	Amazonas	PRESENT		ae447c50-b8a8-11d8-92a4-b8a03c50a862									1975-02-10	10	2	1975	2984896	2984895	PRESERVED_SPECIMEN	NY	NY	428082	P23251			CC0_1_0	The New York Botanical Garden	J. F. Ramos			2024-12-25T06:23:02.153Z		MODIFIED_DATE_INVALID"	
"1703064274	aab0cf80-0c64-11dd-84d1-b8a03c50a862	LD:General:1852571	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Chrysobalanaceae	Acioa	Acioa edulis		SPECIES	Couepia edulis (Prance) Prance	Couepia edulis		BR	Coari Airport	Amazonas	PRESENT	1	c0758a16-296b-4ec3-97fd-8a057d9060f3	-4.134167	-63.1325							1975-02-10	10	2	1975	2984896	2984895	PRESERVED_SPECIMEN	LD	General	1852571				CC_BY_NC_4_0		J. F. Ramos			2025-01-26T03:01:13.429Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY"				
"1424388742	4300f8d5-1ae5-49e5-a101-63894b005868	urn:catalog:JBRJ:RB:68383	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Chrysobalanaceae	Acioa	Acioa edulis		SPECIES	Acioa edulis Prance	Acioa edulis Prance	Prance	BR	Coari"	 Road to airport	 Km 6	" Farm of Sr. Nascimento.	Amazonas	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a									1975-02-10	10	2	1975	2984895	2984895	PRESERVED_SPECIMEN	JBRJ	RB	RB00068383		J.T. Prance	1997-09-22T00:00:00	CC_BY_4_0	Rio de Janeiro Botanical Garden	J.F. Ramos			2025-01-14T18:58:30.080Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"	
"1314885013	318730e8-4140-4297-b03c-4d34d0b6e0bd	MG050301	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Chrysobalanaceae	Acioa	Acioa edulis		SPECIES	Couepia edulis (Prance) Prance	Couepia edulis	(Prance) Prance		Amazonas	Amazonas	PRESENT		4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4									1975-02-10	10	2	1975	2984896	2984895	PRESERVED_SPECIMEN	MPEG	HERBMG	MG050301	`23251	Prance"	" G.T.	1975-01-01T00:00:00	CC_BY_NC_4_0		Ramos"	" J.F.			2024-01-25T06:23:16.153Z		COUNTRY_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY"		
"1260546753	7bd65a7a-f762-11e1-a439-00145eb45e9a	urn:catalog:MO:Tropicos:3158671	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Chrysobalanaceae	Acioa	Acioa edulis		SPECIES	Acioa edulis Prance	Acioa edulis Prance	Prance	BR	Coari"	 Road to airport	 Km. 6	" Farm of Sr. Nascimento.	Amazonas	PRESENT		90fd6680-349f-11d8-aa2d-b8a03c50a862									1975-02-10	10	2	1975	2984895	2984895	PRESERVED_SPECIMEN	MO	Tropicos	3158671	23251	G. T. Prance	2015-01-01T00:00:00	CC_BY_4_0	Missouri Botanical Garden	Jos̩ F. Ramos			2025-01-25T19:29:24.380Z		TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY"	
"1228496188	90c853e6-56bd-480b-8e8f-6285c3f8d42b	72f408cd-f606-49b5-b370-7c363f452c91	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Chrysobalanaceae	Acioa	Acioa edulis		SPECIES	Couepia edulis (Prance) Prance	Couepia edulis (Prance) Prance		BR	Amazonas	Amazonas	PRESENT		7b8aff00-a9f8-11d8-944b-b8a03c50a862	-5.0	-63.0							1975-02-10	10	2	1975	2984896	2984895	PRESERVED_SPECIMEN	F	Botany	V0356665F	P23251	G. T. Prance	1975-01-01T00:00:00	CC0_1_0	The Field Museum of Natural History	J. F. Ramos			2024-01-25T11:00:07.787Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_FUZZY"				
"1042615842	3cc6171e-8c52-4f65-ad7a-32c74e395f29	urn:catalog:inpa:herbarium:149593	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Chrysobalanaceae	Acioa	Acioa edulis		SPECIES	Acioa edulis Prance	Acioa edulis Prance		BR	Road to airport"	 Km 6	" Farm of Sr. Nascimento	Amazonas	PRESENT		c0d9c91a-0f83-4819-bf7e-bb5e1184eb6b					0.0	0.0			1975-02-10	10	2	1975	2984895	2984895	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amaz̫nia (INPA)	Cole̤̣o Bot̢nica"	" Instituto Nacional de Pesquisas da Amaz̫nia (INPA)	47829	P23251	Prance"	" G.T.	2014-06-01T00:00:00	CC0_1_0	Instituto Nacional de Pesquisas da Amaz̫nia (INPA)	Mike Hopkins			2024-10-07T09:08:19.175Z		INSTITUTION_MATCH_NONE"
