"gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue",,,,,
"1260040476	e053ff53-c156-4e2e-b9b5-4462e9625424	urn:catalog:MO:Tropicos:2699327	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Nyctaginaceae	Bougainvillea	Bougainvillea modesta		SPECIES	Bougainvillea modesta Heimerl	Bougainvillea modesta Heimerl	Heimerl	BO	near Coroico	La Paz	PRESENT	1	90fd6680-349f-11d8-aa2d-b8a03c50a862									1894-08-24	24	8	1894	5553603	5553603	PRESERVED_SPECIMEN	F	Tropicos	2699327	2398	Foster's 1958 catalog notes file		CC_BY_4_0	Missouri Botanical Garden	Miguel Bang	ISOTYPE		2025-01-25T18:16:16.656Z		TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION",,,,,
"1259443899	e053ff53-c156-4e2e-b9b5-4462e9625424	urn:catalog:MO:Tropicos:2158289	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Nyctaginaceae	Bougainvillea	Bougainvillea modesta		SPECIES	Bougainvillea modesta Heimerl	Bougainvillea modesta Heimerl	Heimerl	BO	Area Natural de Manejo Integrado Madidi", Unapa," 21 km en linea recta al N de Apolo. Bosque yungueÃ±o subandino xerico con Anadenanthera colubrina.	La Paz	PRESENT	1	90fd6680-349f-11d8-aa2d-b8a03c50a862	-14.542222	-68.495			970.0				2004-09-02	2	9	2004	5553603	5553603	PRESERVED_SPECIMEN	LPB	Tropicos	2158289	811	L. Cayola (LPB)"," OCT/	2004-01-01T00:00:00	CC_BY_4_0	Missouri Botanical Garden	Leslie E. Cayola;A. Antezana;F. Miranda;C. Cuevas;D. Cuevas;et al.			2025-01-25T18:16:12.134Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION",,
"1258757086	e053ff53-c156-4e2e-b9b5-4462e9625424	urn:catalog:MO:Tropicos:1529811	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Nyctaginaceae	Bougainvillea	Bougainvillea modesta		SPECIES	Bougainvillea modesta Heimerl	Bougainvillea modesta Heimerl	Heimerl	BO	The llanura"," at the Jardin Botanico de Santa Cruz	Santa Cruz	PRESENT	1	90fd6680-349f-11d8-aa2d-b8a03c50a862	-17.766667	-63.066667			375.0				1987-09-04	4	9	1987	5553603	5553603	PRESERVED_SPECIMEN	G	Tropicos	1529811	35897	M. H. Nee	2018-01-01T00:00:00	CC_BY_4_0	Missouri Botanical Garden	Michael H. Nee			2025-01-25T18:14:09.895Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION",,,,
"1258659635	e053ff53-c156-4e2e-b9b5-4462e9625424	urn:catalog:MO:Tropicos:1432376	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Nyctaginaceae	Bougainvillea	Bougainvillea modesta		SPECIES	Bougainvillea modesta Heimerl	Bougainvillea modesta Heimerl	Heimerl	BO	Espiritu"," Influencia del rÃ­o Yacuma. Sabana hÃºmeda.	Beni	PRESENT	1	90fd6680-349f-11d8-aa2d-b8a03c50a862					200.0				1986-09-14	14	9	1986	5553603	5553603	PRESERVED_SPECIMEN	LPB	Tropicos	1432376	15002	M. H. Nee	2018-01-01T00:00:00	CC_BY_4_0	Missouri Botanical Garden	Stephan G. Beck			2025-01-25T18:16:03.992Z		TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION",,,,
"1258659630	e053ff53-c156-4e2e-b9b5-4462e9625424	urn:catalog:MO:Tropicos:1432374	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Nyctaginaceae	Bougainvillea	Bougainvillea modesta		SPECIES	Bougainvillea modesta Heimerl	Bougainvillea modesta Heimerl	Heimerl	BO	Espiritu"," en la zona de influencia del Rio Yacuma	Beni	PRESENT	1	90fd6680-349f-11d8-aa2d-b8a03c50a862	-14.2	-66.616667			200.0				1986-09-10	10	9	1986	5553603	5553603	PRESERVED_SPECIMEN	LPB	Tropicos	1432374	5976	M. H. Nee	2018-01-01T00:00:00	CC_BY_4_0	Missouri Botanical Garden	Stephan G. Beck			2025-01-25T18:16:02.516Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION",,,,
"1258620660	e053ff53-c156-4e2e-b9b5-4462e9625424	urn:catalog:MO:Tropicos:1396892	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Nyctaginaceae	Bougainvillea	Bougainvillea modesta		SPECIES	Bougainvillea modesta Heimerl	Bougainvillea modesta Heimerl	Heimerl	BO	Prov. Angel Sandoval", ANMI-San Matias; Estancia Vista Hermosa. A 170 km SE de RoborÃ©. VegetaciÃ³n arbustiva cerca a la laguna. Suelo arcillo arenoso, area inundada," dominancia de Copernicia alba en los margenes de la laguna.	Santa Cruz	PRESENT	1	90fd6680-349f-11d8-aa2d-b8a03c50a862	-17.5	-65.783333			110.0				1999-09-19	19	9	1999	5553603	5553603	PRESERVED_SPECIMEN	USZ	Tropicos	1396892	810	M. H. Nee	2018-01-01T00:00:00	CC_BY_4_0	Missouri Botanical Garden	A.M. CarriÃ³n;E. Rivera			2025-01-25T18:16:02.378Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION",,
"1258539778	e053ff53-c156-4e2e-b9b5-4462e9625424	urn:catalog:MO:Tropicos:1323145	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Nyctaginaceae	Bougainvillea	Bougainvillea modesta		SPECIES	Bougainvillea modesta Heimerl	Bougainvillea modesta Heimerl	Heimerl	BO	Lomerio", Campamento de BOLFOR," a 12 km de la comunidad Las Trancas. Bosque semideciduo. Area quemada.	Santa Cruz	PRESENT		90fd6680-349f-11d8-aa2d-b8a03c50a862	-16.21666	-61.83333			400.0				1998-08-21	21	8	1998	5553603	5553603	PRESERVED_SPECIMEN	USZ	Tropicos	1323145	804	M. Toledo (USZ)	1998-01-01T00:00:00	CC_BY_4_0	Missouri Botanical Garden	M. Toledo G.;Bonifacio Mostacedo C.;T. Fredericksen			2025-01-25T18:16:01.810Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION",,,
"1258401795	e053ff53-c156-4e2e-b9b5-4462e9625424	urn:catalog:MO:Tropicos:1195576	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Nyctaginaceae	Bougainvillea	Bougainvillea modesta		SPECIES	Bougainvillea modesta Heimerl	Bougainvillea modesta Heimerl	Heimerl	BO	Lomerio. 12 km al Norte de la comunidad Las Trancas. Parcelas permamente del proyecto Bolfor", Las Trancas 95. Bosque seco chiquitania. Especies muy frecuentes de Andenanthera colubrina, Poeppigia procera, Centrolobium microchaete," etc. Suelos laterÃ­ticos.	Santa Cruz	PRESENT	1	90fd6680-349f-11d8-aa2d-b8a03c50a862	-16.520278	-61.846389			450.0				1995-09-10	10	9	1995	5553603	5553603	PRESERVED_SPECIMEN	F	Tropicos	1195576	986	M. H. Nee	2018-01-01T00:00:00	CC_BY_4_0	Missouri Botanical Garden	Fabiana Mamani M.			2025-01-25T18:16:00.864Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION",
"1257675748	e053ff53-c156-4e2e-b9b5-4462e9625424	urn:catalog:MO:Tropicos:100326203	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Nyctaginaceae	Bougainvillea	Bougainvillea modesta		SPECIES	Bougainvillea modesta Heimerl	Bougainvillea modesta Heimerl	Heimerl	BO	Parque Nacional Madidi", sector  Sumpulo, pasando el rÃ­o Mojos," entre Mojos y Pata.	La Paz	PRESENT	4	90fd6680-349f-11d8-aa2d-b8a03c50a862	-14.583611	-68.774167			1090.0				2009-09-26	26	9	2009	5553603	5553603	PRESERVED_SPECIMEN	LPB	Tropicos	100326203	15295	A. Fuentes (LPB)	2015-01-01T00:00:00	CC_BY_4_0	Missouri Botanical Garden	Alfredo F. Fuentes;R. Lipa;Saul Cusi;D. Alanes;et al.			2025-01-25T18:14:44.850Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION",,
"1077323685	f9e1895f-4f52-45e7-aa4f-4dea366b7d2d	https://specieslink.net/guid/346/21561	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Nyctaginaceae	Bougainvillea	Bougainvillea modesta		SPECIES	Bougainvillea modesta Heimerl	Bougainvillea cf.modesta	Heimerl.	BR	Assentamento Tamarineiro II Sul - sÃ­tio Sr. Albino - lote-92 - trilha 3	Ms	PRESENT		aa3e4a95-dc4c-45fa-9c0a-cecad3a1511f	-19.108611	-57.7875			153.0	0.0			2010-08-27	27	8	2010	5553603	5553603	PRESERVED_SPECIMEN	CPAP	CPAP	21561	127.0	S. M. Salis	2012-01-01T00:00:00	CC_BY_4_0	HerbÃ¡rio CPAP da Embrapa Pantanal	Almeida", A. M.; Rodrigues, A. K. C.; Castro,W. J. P.; Azevedo, D. T. & Branco," O. D.			2025-01-19T16:43:29.253Z		CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION"
