"species","Year","JulianDay"
"Mimosa acutistipula","1997",120
"Mimosa acutistipula","1971",64
"Mimosa acutistipula","1971",64
"Mimosa acutistipula","2000",59
"Mimosa acutistipula","1998",73
"Mimosa acutistipula","1980",82
"Mimosa acutistipula","2004",73
"Mimosa acutistipula","2000",59
"Mimosa acutistipula","1980",53
"Mimosa acutistipula","1981",104
"Mimosa acutistipula","1979",97
"Mimosa acutistipula","1977",54
"Mimosa acutistipula","1979",96
"Mimosa acutistipula","1962",98
"Mimosa acutistipula","1983",111
"Mimosa acutistipula","1980",105
"Mimosa acutistipula","1977",58
"Mimosa acutistipula","1991",72
"Mimosa acutistipula","1990",27
"Mimosa acutistipula","1983",23
"Mimosa acutistipula","2004",73
"Mimosa acutistipula","2004",108
"Mimosa acutistipula","2009",62
"Mimosa acutistipula","2004",79
"Mimosa acutistipula","2003",68
"Mimosa acutistipula","1995",75
"Mimosa acutistipula","1996",77
"Mimosa acutistipula","1985",29
"Mimosa acutistipula","1981",117
"Mimosa acutistipula","1990",75
"Mimosa acutistipula","1970",40
"Mimosa acutistipula","2006",77
"Mimosa acutistipula","1975",106
"Mimosa acutistipula","2000",86
"Mimosa acutistipula","2004",83
"Mimosa acutistipula","2003",79
"Mimosa acutistipula","2004",79
"Mimosa acutistipula","2003",68
"Mimosa acutistipula","2003",69
"Mimosa acutistipula","2003",69
"Mimosa acutistipula","2005",69
"Mimosa acutistipula","2014",12
"Mimosa acutistipula","1985",88
"Mimosa acutistipula","2013",100
"Mimosa acutistipula","2005",96
"Mimosa acutistipula","2000",90
"Mimosa acutistipula","1997",119
"Mimosa acutistipula","1997",99
"Mimosa acutistipula","2005",106
"Mimosa acutistipula","1997",99
"Mimosa acutistipula","1987",119
"Mimosa acutistipula","2005",104
"Mimosa acutistipula","1992",98
"Mimosa acutistipula","1994",113
"Mimosa acutistipula","1994",71
"Mimosa acutistipula","1977",111
"Mimosa acutistipula","1979",96
"Mimosa acutistipula","1979",97
"Mimosa acutistipula","1980",53
"Mimosa acutistipula","1980",110
"Mimosa acutistipula","1980",81
"Mimosa acutistipula","1980",82
"Mimosa acutistipula","1980",82
"Mimosa acutistipula","2005",109
"Mimosa acutistipula","2000",69
"Mimosa acutistipula","2003",78
"Mimosa acutistipula","1981",104
"Mimosa acutistipula","1981",104
"Mimosa acutistipula","1981",104
"Mimosa acutistipula","2006",77
"Mimosa acutistipula","2015",35
"Mimosa acutistipula","1972",70
"Mimosa acutistipula","1994",76
"Mimosa acutistipula","1970",40
"Mimosa acutistipula","1981",117
"Mimosa acutistipula","1985",88
