species,Year,JulianDay,Location
Aeschynomene indica,1956,38,NA
Aeschynomene indica,1953,55,NA
Aeschynomene indica,1954,56,NA
Aeschynomene indica,1959,49,NA
Aeschynomene indica,1941,21,NA
Aeschynomene indica,1985,50,NA
Aeschynomene indica,1950,25,NA
Aeschynomene indica,2016,23,NA
Aeschynomene indica,1983,1,NA
Aeschynomene indica,1983,1,NA
Aeschynomene indica,1980,59,NA
Aeschynomene indica,1957,51,NA
Aeschynomene indica,1993,18,NA
Aeschynomene indica,1949,20,NA
Aeschynomene indica,1933,1,NA
Aeschynomene indica,1977,51,NA
Aeschynomene indica,NA,NA,NA
Aeschynomene indica,1946,11,NA
Aeschynomene indica,1969,7,NA
Aeschynomene indica,2001,30,NA
Aeschynomene indica,1976,5,NA
Aeschynomene indica,1987,58,NA
Aeschynomene indica,NA,NA,NA
Aeschynomene indica,1995,58,NA
Aeschynomene indica,2004,34,NA
Aeschynomene indica,2009,56,NA
Aeschynomene indica,1995,3,NA
Aeschynomene indica,2004,60,NA
Aeschynomene indica,1953,43,NA
Aeschynomene indica,2009,24,NA
Aeschynomene indica,NA,NA,NA
Aeschynomene indica,1958,42,NA
Aeschynomene indica,1973,31,NA
Aeschynomene indica,1941,45,NA
Aeschynomene indica,1965,21,NA
Aeschynomene indica,1927,2,NA
Aeschynomene indica,1971,57,NA
Aeschynomene indica,1971,51,NA
Aeschynomene indica,1990,27,NA
Aeschynomene indica,2007,58,NA
Aeschynomene indica,2004,60,NA
Aeschynomene indica,2013,52,NA
Aeschynomene indica,1978,28,NA
Aeschynomene indica,1976,48,NA
Aeschynomene indica,1937,59,NA
Aeschynomene indica,1974,13,NA
Aeschynomene indica,2004,49,NA
Aeschynomene indica,NA,NA,NA
Aeschynomene indica,NA,NA,NA
Aeschynomene indica,2006,54,NA
Aeschynomene indica,2000,11,NA
Aeschynomene indica,1992,54,NA
Aeschynomene indica,1996,46,NA
Aeschynomene indica,NA,NA,NA
Aeschynomene indica,1971,13,NA
Aeschynomene indica,2004,60,NA
Aeschynomene indica,1937,59,NA
Aeschynomene indica,2009,24,NA
Aeschynomene indica,1990,7,NA
Aeschynomene indica,2005,58,NA
Aeschynomene indica,1972,25,NA
Aeschynomene indica,1985,38,NA
Aeschynomene indica,1971,13,NA
Aeschynomene indica,1973,38,NA
Aeschynomene indica,1975,13,NA
Aeschynomene indica,1992,45,NA
Aeschynomene indica,1963,45,NA
Aeschynomene indica,1991,20,NA
Aeschynomene indica,1984,59,NA
Aeschynomene indica,1986,39,NA
Aeschynomene indica,1998,50,NA
Aeschynomene indica,2019,59,NA
Aeschynomene indica,1999,32,NA
Aeschynomene indica,NA,NA,NA
Aeschynomene indica,NA,NA,NA
Aeschynomene indica,1977,13,NA
Aeschynomene indica,1912,24,NA
Aeschynomene indica,1974,8,NA
Aeschynomene indica,1912,24,NA
Aeschynomene indica,1912,24,NA
Aeschynomene indica,1978,56,NA
Aeschynomene indica,1965,3,NA
Aeschynomene indica,2003,5,NA
Aeschynomene indica,1975,43,NA
Aeschynomene indica,1981,56,NA
Aeschynomene indica,1949,1,NA
Aeschynomene indica,1912,24,NA
Aeschynomene indica,1985,50,NA
Aeschynomene indica,1977,59,NA
Aeschynomene indica,1965,3,NA
Aeschynomene indica,1978,27,NA
Aeschynomene indica,1979,55,NA
Aeschynomene indica,2003,5,NA
Aeschynomene indica,1975,57,NA
Aeschynomene indica,1981,56,NA
Aeschynomene indica,1966,54,NA
Aeschynomene indica,1965,3,NA
Aeschynomene indica,1915,32,NA
Aeschynomene indica,1950,25,NA
Aeschynomene indica,1890,32,NA
Aeschynomene indica,1904,1,NA
Aeschynomene indica,1969,7,NA
Aeschynomene indica,1912,24,NA
Aeschynomene indica,1912,60,NA
Aeschynomene indica,1910,32,NA
Aeschynomene indica,1934,47,NA
Aeschynomene indica,1901,2,NA
Aeschynomene indica,1913,32,NA
Aeschynomene indica,1979,13,NA
Aeschynomene indica,1933,52,NA
Aeschynomene indica,1941,21,NA
Aeschynomene indica,1950,32,NA
Aeschynomene indica,1933,52,NA
Aeschynomene indica,1985,50,NA
Aeschynomene indica,1971,26,NA
Aeschynomene indica,1915,32,NA
Aeschynomene indica,1931,37,NA
Aeschynomene indica,1864,56,NA
Aeschynomene indica,NA,NA,NA
Aeschynomene indica,2005,58,NA
Aeschynomene indica,1996,52,NA
Aeschynomene indica,2005,56,NA
Aeschynomene indica,1996,40,NA
Aeschynomene indica,1996,26,NA
Aeschynomene indica,2004,60,NA
